Source,Target,Weight,Type
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_ Guerra_Granada,21,undirected
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_epístolas,21,undirected
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_fábulas,12,undirected
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_sátiras,2,undirected
Cervantes_Salazar_cronica_ nueva_españa,lazarillo_tormes,7,undirected
Cervantes_Salazar_cronica_ nueva_españa,Valdés_A_dialogo_cosas_acaecidas_roma,4,undirected
Cervantes_Salazar_cronica_ nueva_españa,Valdés_J_ dialogo_lengua,3,undirected
Hurtado_ cartas,Hurtado_canciones,12,undirected
Hurtado_ cartas,Hurtado_églogas,10,undirected
Hurtado_ cartas,Hurtado_epístolas,41,undirected
Hurtado_ cartas,Hurtado_poesías_satírico_burlescas,12,undirected
Hurtado_ cartas,Hurtado_poesías_varias,36,undirected
Hurtado_ cartas,Hurtado_sonetos,1,undirected
Hurtado_ cartas,lazarillo_tormes,14,undirected
Hurtado_ cartas,Valdés_A_dialogo_cosas_acaecidas_roma,2,undirected
Hurtado_ cartas,Valdés_J_ dialogo_lengua,14,undirected
Hurtado_ Guerra_Granada,Cervantes_Salazar_cronica_ nueva_españa,21,undirected
Hurtado_ Guerra_Granada,Hurtado_epístolas,14,undirected
Hurtado_ Guerra_Granada,Hurtado_fábulas,7,undirected
Hurtado_canciones,Hurtado_ cartas,12,undirected
Hurtado_canciones,Hurtado_églogas,36,undirected
Hurtado_canciones,Hurtado_elegías,11,undirected
Hurtado_canciones,Hurtado_fábulas,1,undirected
Hurtado_canciones,Hurtado_octavas,35,undirected
Hurtado_canciones,Hurtado_poesías_varias,5,undirected
Hurtado_canciones,Hurtado_sátiras,21,undirected
Hurtado_canciones,Hurtado_sonetos,27,undirected
Hurtado_églogas,Hurtado_ cartas,10,undirected
Hurtado_églogas,Hurtado_canciones,36,undirected
Hurtado_églogas,Hurtado_epístolas,1,undirected
Hurtado_églogas,Hurtado_octavas,9,undirected
Hurtado_églogas,Hurtado_poesías_satírico_burlescas,1,undirected
Hurtado_elegías,Hurtado_canciones,11,undirected
Hurtado_elegías,Hurtado_fábulas,38,undirected
Hurtado_elegías,Hurtado_octavas,18,undirected
Hurtado_elegías,Hurtado_sonetos,1,undirected
Hurtado_epístolas,Cervantes_Salazar_cronica_ nueva_españa,21,undirected
Hurtado_epístolas,Hurtado_ cartas,41,undirected
Hurtado_epístolas,Hurtado_ Guerra_Granada,14,undirected
Hurtado_epístolas,Hurtado_églogas,1,undirected
Hurtado_epístolas,Hurtado_fábulas,15,undirected
Hurtado_epístolas,Hurtado_poesías_satírico_burlescas,21,undirected
Hurtado_epístolas,Hurtado_poesías_varias,28,undirected
Hurtado_epístolas,Hurtado_sátiras,4,undirected
Hurtado_epístolas,Hurtado_sonetos,4,undirected
Hurtado_epístolas,lazarillo_tormes,21,undirected
